CONSECUTIVO;LETRA;CATALOG_KEY;NOMBRE;CAPITULO
1;A;A00;CÓLERA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
2;A;A000;CÓLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO CHOLERAE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
3;A;A001;CÓLERA DEBIDO A VIBRIO CHOLERAE 01, BIOTIPO EL TOR;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
4;A;A009;CÓLERA, NO ESPECIFICADO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
5;A;A01;FIEBRES TIFOIDEA Y PARATIFOIDEA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
6;A;A010;FIEBRE TIFOIDEA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
7;A;A011;FIEBRE PARATIFOIDEA A;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
8;A;A012;FIEBRE PARATIFOIDEA B;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
9;A;A013;FIEBRE PARATIFOIDEA C;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
10;A;A014;FIEBRE PARATIFOIDEA, NO ESPECIFICADA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
11;A;A02;OTRAS INFECCIONES DEBIDAS A SALMONELLA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
12;A;A020;ENTERITIS DEBIDA A SALMONELLA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
13;A;A021;SEPSIS DEBIDA A SALMONELLA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
14;A;A022;INFECCIONES LOCALIZADAS DEBIDAS A SALMONELLA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
15;A;A028;OTRAS INFECCIONES ESPECIFICADAS COMO DEBIDAS A SALMONELLA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
16;A;A029;INFECCIÓN DEBIDA A SALMONELLA, NO ESPECIFICADA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
17;A;A03;SHIGELOSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
18;A;A030;SHIGELOSIS DEBIDA A SHIGELLA DYSENTERIAE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
19;A;A031;SHIGELOSIS DEBIDA A SHIGELLA FLEXNERI;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
20;A;A032;SHIGELOSIS DEBIDA A SHIGELLA BOYDII;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
21;A;A033;SHIGELOSIS DEBIDA A SHIGELLA SONNEI;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
22;A;A038;OTRAS SHIGELOSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
23;A;A039;SHIGELOSIS DE TIPO NO ESPECIFICADO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
24;A;A04;OTRAS INFECCIONES INTESTINALES BACTERIANAS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
25;A;A040;INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROPATÓGENA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
26;A;A041;INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROTOXÍGENA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
27;A;A042;INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROINVASIVA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
28;A;A043;INFECCIÓN DEBIDA A ESCHERICHIA COLI ENTEROHEMORRÁGICA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
29;A;A044;OTRAS INFECCIONES INTESTINALES DEBIDAS A ESCHERICHIA COLI;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
30;A;A045;ENTERITIS DEBIDA A CAMPYLOBACTER;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
31;A;A046;ENTERITIS DEBIDA A YERSINIA ENTEROCOLITICA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
32;A;A047;ENTEROCOLITIS DEBIDA A CLOSTRIDIUM DIFFICILE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
33;A;A048;OTRAS INFECCIONES INTESTINALES BACTERIANAS ESPECIFICADAS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
34;A;A049;INFECCIÓN INTESTINAL BACTERIANA, NO ESPECIFICADA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
35;A;A05;OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
36;A;A050;INTOXICACIÓN ALIMENTARIA ESTAFILOCÓCICA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
37;A;A051;BOTULISMO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
38;A;A052;INTOXICACIÓN ALIMENTARIA DEBIDA A CLOSTRIDIUM PERFRINGENS [CLOSTRIDIUM WELCHII];CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
39;A;A053;INTOXICACIÓN ALIMENTARIA DEBIDA A VIBRIO PARAHAEMOLYTICUS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
40;A;A054;INTOXICACIÓN ALIMENTARIA DEBIDA A BACILLUS CEREUS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
41;A;A058;OTRAS INTOXICACIONES ALIMENTARIAS DEBIDAS A BACTERIAS ESPECIFICADAS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
42;A;A059;INTOXICACIÓN ALIMENTARIA BACTERIANA, NO ESPECIFICADA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
43;A;A06;AMEBIASIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
44;A;A060;DISENTERÍA AMEBIANA AGUDA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
45;A;A061;AMEBIASIS INTESTINAL CRÓNICA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
46;A;A062;COLITIS AMEBIANA NO DISENTÉRICA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
47;A;A063;AMEBOMA INTESTINAL;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
48;A;A064;ABSCESO AMEBIANO DEL HÍGADO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
49;A;A065;ABSCESO AMEBIANO DEL PULMÓN;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
50;A;A066;ABSCESO AMEBIANO DEL CEREBRO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
51;A;A067;AMEBIASIS CUTÁNEA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
52;A;A068;INFECCIÓN AMEBIANA DE OTRAS LOCALIZACIONES;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
53;A;A069;AMEBIASIS, NO ESPECIFICADA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
54;A;A07;OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
55;A;A070;BALANTIDIASIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
56;A;A071;GIARDIASIS [LAMBLIASIS];CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
57;A;A072;CRIPTOSPORIDIOSIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
58;A;A073;ISOSPORIASIS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
59;A;A078;OTRAS ENFERMEDADES INTESTINALES ESPECIFICADAS DEBIDAS A PROTOZOARIOS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
60;A;A079;ENFERMEDAD INTESTINAL DEBIDA A PROTOZOARIOS, NO ESPECIFICADA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
61;A;A08;INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
62;A;A080;ENTERITIS DEBIDA A ROTAVIRUS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
63;A;A081;GASTROENTEROPATÍA AGUDA DEBIDA AL AGENTE DE NORWALK;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
64;A;A082;ENTERITIS DEBIDA A ADENOVIRUS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
65;A;A083;OTRAS ENTERITIS VIRALES;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
66;A;A084;INFECCIÓN INTESTINAL VIRAL, SIN OTRA ESPECIFICACIÓN;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
67;A;A085;OTRAS INFECCIONES INTESTINALES ESPECIFICADAS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
68;A;A09;OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO Y NO ESPECIFICADO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
69;A;A090;OTRAS GASTROENTERITIS Y COLITIS DE ORIGEN INFECCIOSO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
70;A;A099;GASTROENTERITIS Y COLITIS DE ORIGEN NO ESPECIFICADO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
71;A;A09X;DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
72;A;A15;TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
73;A;A150;TUBERCULOSIS DEL PULMÓN, CONFIRMADA POR HALLAZGO MICROSCÓPICO DEL BACILO TUBERCULOSO EN ESPUTO, CON O SIN CULTIVO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
74;A;A151;TUBERCULOSIS DEL PULMÓN, CONFIRMADA ÚNICAMENTE POR CULTIVO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
75;A;A152;TUBERCULOSIS DEL PULMÓN, CONFIRMADA HISTOLÓGICAMENTE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
76;A;A153;TUBERCULOSIS DEL PULMÓN, CONFIRMADA POR MEDIOS NO ESPECIFICADOS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
77;A;A154;TUBERCULOSIS DE GANGLIOS LINFÁTICOS INTRATORÁCICOS, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
78;A;A155;TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
79;A;A156;PLEURESÍA TUBERCULOSA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
80;A;A157;TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
81;A;A158;OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLÓGICA E HISTOLÓGICAMENTE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
82;A;A159;TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
83;A;A16;TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLÓGICA O HISTOLÓGICAMENTE;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
84;A;A160;TUBERCULOSIS DEL PULMÓN, CON EXAMEN BACTERIOLÓGICO E HISTOLÓGICO NEGATIVOS;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
85;A;A161;TUBERCULOSIS DE PULMÓN, SIN EXAMEN BACTERIOLÓGICO E HISTOLÓGICO;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
86;A;A162;TUBERCULOSIS DE PULMÓN, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
87;A;A163;TUBERCULOSIS DE GANGLIOS LINFÁTICOS INTRATORÁCICOS, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
88;A;A164;TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
89;A;A165;PLEURESÍA TUBERCULOSA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
90;A;A167;TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA;CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS
